Oblivion,aliens,2013
Pacific Rim,monster,2013
Rapture-Palooza,religious,2013
Snowpiercer,climate changes,2013
These Final Hours,asteroid,2013
This Is the End,natural disaster,2013
Warm Bodies,zombies,2013
World War Z,zombies,2013
The World's End,ai,2013
Dawn of the Planet of the Apes,apes,2014
Edge of Tomorrow,war,2014
Goodbye World,ai,2014
Die Gstettensaga: The Rise of Echsenfriedl,war,2014
Interstellar,climate changes,2014
The Last Survivors,climate changes,2014
Noah,natural disaster,2014
Wyrmwood: Road of the Dead,zombies,2014
Zodiac: Signs of the Apocalypse,natural disaster,2014
Air,atomic bomb,2015
Extinction,zombies,2015
Hidden,disease,2015
Mad Max: Fury Road,atomic bomb,2015
The Survivalist,climate changes,2015
Terminator Genisys,ai,2015
Z for Zachariah,atomic bomb,2015
10 Cloverfield Lane,monster,2016
